"subnum","agegrp","age","a.full","h.full","s.full","a.low","h.low","s.low","a.med","h.med","s.med"
1,"Younger","29",2.5,1.4,1.5,2.6,2.8,2.5,2,3,3
2,"Middle Age","53",1.2,2.5,1.8,2.5,2.66666666666667,1,1.5,2,1.8
3,"Older","67",2.16666666666667,1.6,1.8,4.2,1.83333333333333,2.2,1.8,2.25,1.33333333333333
4,"Middle Age","40",2.16666666666667,5.8,2.5,3,5.4,2.75,2.66666666666667,5.25,2.4
5,"Older","60",2.16666666666667,4.5,2.2,2.5,4.75,3.25,2.5,4.33333333333333,1.8
6,"Older","60",2.33333333333333,6.6,2.16666666666667,2.75,6.2,3.66666666666667,2.25,6.5,3
7,"Older","61",3.5,5.6,4.75,2.4,2.2,2.5,3,3.8,4.2
8,"Older","76",6.8,7,6.5,5.33333333333333,6.5,6.25,6.8,7,7
9,"Older","71",3,3.75,3,2.83333333333333,3.75,2.8,2.66666666666667,3.33333333333333,3
10,"Younger","25",2.4,4.25,2.25,2.5,4,2.5,2,4,2.33333333333333
11,"Older","66",2,3.2,2.5,2,3.4,2,2,3,2
12,"Younger","30",6.8,5.66666666666667,5,4.4,6.83333333333333,5.75,5,7,5.83333333333333
13,"Older","66",5.5,5.75,4.2,5.2,5.33333333333333,4.33333333333333,5.5,5.75,5.25
14,"Older","73",3.6,5.6,3.33333333333333,3.16666666666667,4.4,4,3.8,5.33333333333333,4
15,"Older","70",3.4,6.33333333333333,3,3.8,4.5,3.2,2.6,5.8,3.25
16,"Younger","37",2,5.25,3.83333333333333,4,4,2.8,3.25,3.75,3
17,"Older","70",2.4,6.33333333333333,2.4,3.2,5,3,2,5,2.6
18,"Middle Age","52",6.75,5.2,6.16666666666667,4.5,4.5,4,6,5.4,3.75
19,"Middle Age","50",1.8,5,3,2.5,4.25,3.8,2.5,5.2,3.33333333333333
20,"Older","71",1.4,5.66666666666667,2,2.75,5.5,2.8,2.16666666666667,5,2.2
21,"Older","68",5.4,6,3.75,4.5,4.33333333333333,4.6,5,5.33333333333333,3.16666666666667
22,"Younger","35",1,1,1,3,1,1.16666666666667,1,1.66666666666667,1
23,"Older","73",5.2,5,5.2,4.6,4,5.2,5.2,5,5
24,"Younger","26",4,4.5,3.5,3,3.4,3.8,4.5,3.4,4.2
25,"Older","64",2,5.6,2.2,2.5,5.4,2.33333333333333,2.2,6,2.25
26,"Older","74",4,5.33333333333333,4.33333333333333,4,4.33333333333333,4,3.83333333333333,4.8,4
27,"Middle Age","43",4,6.66666666666667,4.83333333333333,3.2,4,2.83333333333333,4.5,6.4,3.75
28,"Middle Age","47",5.5,6.2,5.16666666666667,5,5.5,4.8,4.16666666666667,5.83333333333333,5
29,"Younger","35",1,1.2,1,1,1,1,1,1.25,1
30,"Older","68",1,1.33333333333333,1.4,1,1,1,1,1,1
31,"Younger","38",2,7,1.5,2.83333333333333,6.25,2.5,1.16666666666667,6.33333333333333,2
32,"Older","70",4.33333333333333,4.83333333333333,4.25,3.8,4,3.66666666666667,4,4.25,3.5
33,"Older","66",6.83333333333333,7,6.75,6.33333333333333,6,5.83333333333333,6.75,6.75,6.8
34,"Middle Age","54",1,7,1.5,1,6.75,1.5,1,7,1.2
35,"Younger","38",6,6,6.5,4.25,5,5.6,5.5,6,5.8
36,"Older","66",6.5,5.8,5.4,4,4.83333333333333,4.75,5.33333333333333,5.6,4.8
37,"Middle Age","50",3,3,3,3,3,3,3,3,3
38,"Middle Age","47",3,4.25,3.6,3.6,4.4,3.6,3.33333333333333,4,3.6
39,"Middle Age","58",6.6,1.83333333333333,2.66666666666667,5.5,2,3,6,1.4,5.4
40,"Middle Age","48",5,4.66666666666667,5,3.5,4,4,4.25,4.6,4.25
41,"Older","68",3.75,5,3.6,4,4.33333333333333,3.33333333333333,3.4,4.8,2.83333333333333
42,"Older","75",6,7,5.66666666666667,4.5,5.6,4.33333333333333,5.5,6.25,2.75
43,"Older","71",4,6,4,3.4,6,4,4,6,4
44,"Younger","30",2.83333333333333,4.5,3.4,3.5,5.4,3.83333333333333,3.5,4,3
45,"Middle Age","56",5.16666666666667,5,5.2,5,4.8,5,4.8,5,5
